test_id,trial_curr,trial_total,rep,reps,steps,steps_max,pbp,pres_mode,perception_count,retrieval_count,sol,solved,timestamp,activity->feature->hyp_base,activity->obj->hyp_base,activity->selector->hyp_base
_72925f6df15a9999,3,240,17,25,208,2500,pbp02,interleaved-sim-dis,223,134,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:58:07.234Z,,,0.1
_72925f6df15a9999,3,240,5,25,847,2500,pbp02,interleaved-sim-dis,689,3428,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:58:07.237Z,,,0.1
_72925f6df15a9999,3,240,3,25,602,2500,pbp02,interleaved-sim-dis,503,1677,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:58:07.244Z,,,0.1
_72925f6df15a9999,3,240,21,25,459,2500,pbp02,interleaved-sim-dis,470,904,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:58:07.245Z,,,0.1
_72925f6df15a9999,3,240,23,25,361,2500,pbp02,interleaved-sim-dis,386,370,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:58:07.246Z,,,0.1
_72925f6df15a9999,3,240,14,25,973,2500,pbp02,interleaved-sim-dis,693,5517,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:58:07.247Z,,,0.1
_72925f6df15a9999,3,240,13,25,233,2500,pbp02,interleaved-sim-dis,250,311,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:58:07.248Z,,,0.1
_72925f6df15a9999,3,240,12,25,1347,2500,pbp02,interleaved-sim-dis,841,13498,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:58:07.252Z,,,0.1
_72925f6df15a9999,3,240,1,25,486,2500,pbp02,interleaved-sim-dis,496,1831,"Only in the left scenes, exists: ( objects that are 1)",true,2022-04-20T01:58:07.253Z,,,0.1
_72925f6df15a9999,3,240,11,25,989,2500,pbp02,interleaved-sim-dis,757,4898,"Only in the right scenes, exists: ( objects that are 2)",true,2022-04-20T01:58:07.253Z,,,0.1
